epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3566,0.93933,4.00658,1.62867,0.07403,0.60651,0.0803,0.05594,0.80135,3.64973,1.64672,7.07464e-05,7.07464e-05,7.07464e-05
2,80.1278,0.74186,3.10554,1.5335,0.04109,0.94063,0.09548,0.06006,0.81621,3.29063,1.66226,0.00013894,0.00013894,0.00013894
3,120.249,0.78686,2.48024,1.61456,0.11118,0.75855,0.10201,0.06368,0.93299,2.95194,1.77672,0.000204322,0.000204322,0.000204322
4,159.565,0.80384,2.19419,1.63091,0.05513,1,0.10449,0.06584,0.91536,2.96374,1.74158,0.000200348,0.000200348,0.000200348
5,199.111,0.79669,2.06029,1.60915,0.06138,1,0.10974,0.07706,0.75418,2.84497,1.55501,0.00019613,0.00019613,0.00019613
6,238.596,0.77763,1.96416,1.58083,0.07129,1,0.11094,0.07906,0.73239,2.88869,1.53308,0.000191913,0.000191913,0.000191913
7,278.042,0.76762,1.89946,1.55703,0.07085,1,0.11824,0.08333,0.79151,2.73225,1.57723,0.000187696,0.000187696,0.000187696
8,317.435,0.76957,1.84643,1.54899,0.06735,1,0.11731,0.0848,0.71516,2.79047,1.48288,0.000183478,0.000183478,0.000183478
9,357.045,0.75325,1.78843,1.52739,0.0682,1,0.122,0.09055,0.74842,2.82779,1.54768,0.000179261,0.000179261,0.000179261
10,397.019,0.74718,1.759,1.5171,0.06572,1,0.12111,0.08676,0.73291,2.72567,1.4867,0.000175043,0.000175043,0.000175043
11,437.178,0.74694,1.74032,1.51101,0.06982,1,0.12282,0.08696,0.76704,2.77926,1.49674,0.000170826,0.000170826,0.000170826
12,476.927,0.73984,1.72766,1.49898,0.2501,0.72019,0.12455,0.0875,0.78653,2.78402,1.53877,0.000166609,0.000166609,0.000166609
13,516.865,0.72926,1.68024,1.48097,0.52886,0.41336,0.12942,0.0936,0.75311,2.76483,1.48458,0.000162391,0.000162391,0.000162391
14,556.993,0.72566,1.68343,1.47874,0.45796,0.44041,0.12743,0.09546,0.71171,2.80685,1.45373,0.000158174,0.000158174,0.000158174
15,597.154,0.71673,1.64559,1.46934,0.24639,0.60539,0.13266,0.09953,0.70114,2.72761,1.45959,0.000153956,0.000153956,0.000153956
16,636.81,0.72724,1.64216,1.4729,0.07678,1,0.13655,0.10145,0.73948,2.71388,1.49949,0.000149739,0.000149739,0.000149739
17,676.616,0.70876,1.59428,1.4542,0.44743,0.42372,0.14063,0.10558,0.69322,2.71628,1.4495,0.000145522,0.000145522,0.000145522
18,716.206,0.71329,1.60471,1.44719,0.17268,0.67913,0.13787,0.10257,0.72494,2.65899,1.48196,0.000141304,0.000141304,0.000141304
19,756.049,0.70276,1.60794,1.44545,0.23924,0.64021,0.1388,0.10177,0.73176,2.74177,1.47319,0.000137087,0.000137087,0.000137087
20,795.85,0.71,1.58634,1.4447,0.22472,0.64187,0.14053,0.09836,0.81305,2.66072,1.52451,0.000132869,0.000132869,0.000132869
21,835.685,0.70471,1.55721,1.44229,0.28608,0.55663,0.13999,0.1043,0.70047,2.64093,1.45312,0.000128652,0.000128652,0.000128652
22,875.315,0.70893,1.53408,1.43584,0.28823,0.58294,0.14666,0.11165,0.69158,2.63675,1.44586,0.000124435,0.000124435,0.000124435
23,915.092,0.70252,1.53701,1.43644,0.34123,0.50161,0.14852,0.10654,0.77796,2.7409,1.51915,0.000120217,0.000120217,0.000120217
24,954.895,0.69557,1.53751,1.4304,0.33518,0.49942,0.14977,0.10534,0.83653,2.80849,1.56973,0.000116,0.000116,0.000116
25,994.616,0.69648,1.51854,1.43045,0.22383,0.65086,0.14749,0.11309,0.69301,2.60958,1.45651,0.000111782,0.000111782,0.000111782
26,1034.35,0.68536,1.52006,1.4187,0.33606,0.51386,0.1483,0.11233,0.70573,2.81742,1.46333,0.000107565,0.000107565,0.000107565
27,1073.87,0.6911,1.49911,1.42319,0.40661,0.47673,0.15352,0.11706,0.68894,2.6461,1.44791,0.000103348,0.000103348,0.000103348
28,1113.6,0.68335,1.50517,1.41566,0.27811,0.54685,0.15255,0.11346,0.72077,2.65493,1.45359,9.91302e-05,9.91302e-05,9.91302e-05
29,1153.23,0.68612,1.48811,1.41044,0.35229,0.51084,0.15806,0.11917,0.72199,2.60774,1.4635,9.49128e-05,9.49128e-05,9.49128e-05
30,1192.94,0.68294,1.49022,1.41351,0.3092,0.51193,0.15638,0.11992,0.68919,2.67268,1.45586,9.06954e-05,9.06954e-05,9.06954e-05
31,1232.8,0.68876,1.48701,1.41596,0.29822,0.54796,0.15626,0.1198,0.68397,2.74836,1.4353,8.6478e-05,8.6478e-05,8.6478e-05
32,1272.42,0.68104,1.46853,1.40737,0.32131,0.49864,0.15713,0.12011,0.70134,2.61367,1.44597,8.22606e-05,8.22606e-05,8.22606e-05
33,1311.99,0.68047,1.46393,1.40562,0.28293,0.51537,0.1581,0.1193,0.70226,2.64551,1.43977,7.80432e-05,7.80432e-05,7.80432e-05
34,1351.63,0.67362,1.45907,1.39906,0.27765,0.55073,0.16234,0.12398,0.68918,2.76531,1.42943,7.38258e-05,7.38258e-05,7.38258e-05
35,1391.06,0.67071,1.45403,1.39381,0.33684,0.51261,0.16879,0.12992,0.67056,2.58936,1.41795,6.96084e-05,6.96084e-05,6.96084e-05
36,1430.51,0.66804,1.432,1.39572,0.30709,0.50533,0.16656,0.12783,0.67757,2.53944,1.42535,6.5391e-05,6.5391e-05,6.5391e-05
37,1469.98,0.66377,1.42332,1.38548,0.28486,0.54442,0.16458,0.12423,0.69528,2.6638,1.43192,6.11736e-05,6.11736e-05,6.11736e-05
38,1509.28,0.66537,1.41572,1.3878,0.29155,0.5286,0.16406,0.12481,0.69341,2.67268,1.43214,5.69562e-05,5.69562e-05,5.69562e-05
39,1548.78,0.66054,1.43226,1.38832,0.24253,0.54186,0.16864,0.12729,0.6937,2.57096,1.43411,5.27388e-05,5.27388e-05,5.27388e-05
40,1588.28,0.66484,1.42195,1.38624,0.2523,0.58418,0.16747,0.12634,0.69041,2.74768,1.41942,4.85214e-05,4.85214e-05,4.85214e-05
41,1627.46,0.72288,1.39464,1.53548,0.22726,0.5704,0.1617,0.12305,0.69738,2.70922,1.42879,4.4304e-05,4.4304e-05,4.4304e-05
